S,R,LB,radius,weight,Group,ReasonId,Timestamp,ProjectId
L11018667,L11018979,L11018667,1,30,1,8,2019-07-14 12:57:31.107,0
L11018667,L11005005,L11018667,1,30,1,8,2019-07-14 12:58:41.223,0
L11018667,L11004826,L11018667,1,30,1,8,2019-07-14 12:59:59.177,0
L11018667,L11025430,L11018667,1,30,1,8,2019-07-14 13:03:15.100,0
L11018667,L11004886,L11018667,1,30,1,8,2019-07-14 13:04:09.097,0
L11018667,L11021064,L11018667,1,30,1,8,2019-07-14 13:15:37.083,0
L11018667,L11018663,L11018667,1,20,1,8,2019-07-14 13:47:07.147,0
L11018667,L11020431,L11018667,1,30,1,8,2019-07-14 13:50:37.070,0
L11018667,L11034892,L11018667,1,20,1,8,2019-07-14 13:52:20.077,0
L11018667,L11018790,L11018667,1,30,1,8,2019-07-14 13:52:56.077,0
L11018667,L11008203,L11018667,1,20,1,8,2019-07-14 13:53:43.070,0
L11018667,L11009748,L11018667,1,30,1,8,2019-07-14 13:55:49.060,0
L11018667,L11007813,L11018667,1,30,1,8,2019-07-14 13:56:36.060,0
L11018667,L11005368,L11018667,1,20,1,8,2019-07-14 13:57:16.057,0
L11018667,L11004281,L11018667,1,20,1,8,2019-07-14 13:57:57.057,0
L11018667,L11020866,L11018667,1,30,1,8,2019-07-14 13:58:57.067,0
L11018667,L11018984,L11018667,1,30,1,8,2019-07-14 14:00:17.087,0
L11018667,L11013530,L11018667,1,20,1,8,2019-07-14 14:01:06.073,0
L11018667,L11018977,L11018667,1,30,1,8,2019-07-14 14:02:59.127,0
L11018667,L11012997,L11018667,1,20,1,8,2019-07-14 14:03:35.067,0
L11018667,L11026488,L11018667,1,20,1,8,2019-07-14 14:04:59.130,0
L11018667,L11004278,L11018667,1,20,1,8,2019-07-14 14:06:25.130,0
L11018667,L11018318,L11018667,1,20,1,8,2019-07-14 15:04:01.037,0
L11018667,L11008316,L11018667,1,20,1,11,2019-07-14 15:06:56.030,0
L11018667,L11017305,L11018667,1,20,1,8,2019-07-16 08:08:06.203,0
L11018667,L11027437,L11018667,1,20,1,8,2019-07-16 14:18:49.997,0
L11018223,L11002250,L11018667,2,50,1,1,2019-07-24 12:36:14.310,0
L11018223,L11002397,L11018667,2,100,1,11,2019-07-24 12:38:24.270,0
L11018223,L11003280,L11018667,2,50,1,8,2019-07-25 16:49:46.803,0
L11018223,L60000512,L11018667,2,30,1,1,2019-07-25 16:54:14.790,0
L11018223,L11000957,L11018667,2,30,1,8,2019-07-25 16:55:49.260,0
L11024309,L11023388,L11018667,2,200,1,7,2019-07-24 00:17:21.823,0
L11032745,L11014955,L11018667,2,100,1,1,2019-07-08 21:26:27.133,0
L11032745,L11023277,L11018667,2,200,1,1,2019-07-11 20:15:59.013,0
L11032745,L11010067,L11018667,2,100,1,1,2019-07-11 20:28:09.960,0
L11032745,L11002699,L11018667,2,200,1,1,2019-07-11 20:40:27.990,0
L11032745,L11028598,L11018667,2,50,1,3,2019-07-11 20:47:38.913,0
L11032745,L11004294,L11018667,2,50,1,3,2019-07-11 20:54:36.900,0
L11032745,L11012753,L11018667,2,150,1,1,2019-07-19 17:50:18.707,0
L11034982,L11028598,L11018667,2,400,1,1,2019-07-17 20:45:34.803,0
L11034982,L11012699,L11018667,2,500,1,6,2019-07-17 18:26:45.827,0
L11027745,L11012753,L11018667,2,58,1,1,2019-07-11 14:40:08.157,0
L11027745,L11013875,L11018667,2,20,1,4,2019-07-10 17:26:59.023,0
L11027745,L11015290,L11018667,2,50,1,4,2019-07-11 08:06:12.420,0
L11027745,L11002513,L11018667,2,50,1,4,2019-07-11 08:11:16.493,0
L11027745,L11032916,L11018667,2,50,1,1,2019-07-11 10:06:57.350,0
L11027745,L11004374,L11018667,2,50,1,1,2019-07-11 13:53:38.183,0
L11027745,L11000072,L11018667,2,50,1,1,2019-07-11 13:55:15.210,0
L11027745,L11003481,L11018667,2,50,1,1,2019-07-11 13:58:50.250,0
L11027745,L11013764,L11018667,2,50,1,2,2019-07-11 15:54:36.110,0
L11027745,L11012993,L11018667,2,50,1,6,2019-07-11 16:03:19.200,0
L11027745,L11021927,L11018667,2,100,1,7,2019-07-18 09:48:46.260,0
L11027745,L11012699,L11018667,2,100,1,1,2019-07-24 09:18:17.453,0
L11027745,L11028774,L11018667,2,100,1,4,2019-07-24 14:24:28.197,0
L11027745,L11014595,L11018667,2,100,1,1,2019-07-26 18:11:10.497,0
L11027745,L11017202,L11018667,2,100,1,4,2019-07-26 18:14:18.470,0
L11027745,L11020790,L11018667,2,100,1,3,2019-07-26 18:18:24.067,0
L11027745,L11003110,L11018667,2,100,1,4,2019-07-30 07:28:39.380,0
L11015624,L11004374,L11018667,2,100,1,12,2019-07-18 14:09:39.033,0
L11015624,L11006149,L11018667,2,20,1,12,2019-07-25 16:27:46.270,0
L11015624,L11003235,L11018667,2,100,1,12,2019-07-24 07:37:57.907,0
L11015624,L11002830,L11018667,2,200,1,6,2019-07-18 11:21:33.210,0
L11004307,L11004294,L11018667,2,150,1,7,2019-07-11 14:24:12.167,0
L11004307,L11012699,L11018667,2,200,1,1,2019-07-15 16:31:34.727,0
L11004307,L11005837,L11018667,2,150,1,1,2019-07-15 16:29:19.730,0
L11000277,L11002397,L11018667,2,200,1,11,2019-07-21 18:50:47.053,0
L11000277,L11000957,L11018667,2,100,1,1,2019-07-21 18:52:17.053,0
L11000277,L11001844,L11018667,2,100,1,1,2019-07-21 18:44:01.653,0
L11000277,L11006195,L11018667,2,100,1,1,2019-07-21 18:42:36.633,0
L11018687,L11002397,L11018667,2,200,1,1,2019-07-17 09:37:03.243,0
L11018687,L11013353,L11018667,2,100,1,3,2019-07-11 14:36:40.227,0
L11018687,L11006187,L11018667,2,100,1,5,2019-07-17 09:38:57.160,0
L11018687,L11025053,L11018667,2,100,1,1,2019-07-11 14:38:37.153,0
L11018687,L11013010,L11018667,2,100,1,3,2019-07-17 09:34:47.240,0
